Designator,Value,Footprint,Mid X,Mid Y,Rotation,Side
Fid1,Fiducial,USER,3.1,3.1,0,Top
Fid2,Fiducial,USER,3.1,86.3,0,Top
Fid3,Fiducial,USER,64.5,86.3,0,Top
Fid4,Fiducial,USER,64.5,3.1,0,Top
C2,08055C103KATDA,C0805,5.83,46.53,0,Top
C7,08055C103KATDA,C0805,16.08,12.9,90,Top
C9,08055C103KATDA,C0805,18.33,13.28,90,Top
C11,08055C103KATDA,C0805,61.88,27.7,270,Top
C15,08055C103KATDA,C0805,29.7,64.48,180,Top
C17,08055C103KATDA,C0805,48.83,21.55,0,Top
C19,08055C103KATDA,C0805,30,77.26,180,Top
C24,08055C103KATDA,C0805,38.41,36.04,180,Top
C5,08055C104KATDA,C0805,20.75,13.25,90,Top
C8,08055C104KATDA,C0805,59.7,27.69,270,Top
C10,08055C104KATDA,C0805,56.33,14.95,90,Top
C12,08055C104KATDA,C0805,14.03,12.88,90,Top
C14,08055C104KATDA,C0805,48.8,19.48,0,Top
C25,08055C104KATDA,C0805,38.42,38.19,180,Top
C27,08055C104KATDA,C0805,19.3,41.23,270,Top
C28,08055C104KATDA,C0805,61.88,58.88,0,Top
C29,08055C104KATDA,C0805,5,37.67,0,Top
C20,08051A220JATDA,SM0805,35.67,60.83,90,Top
C21,08051A220JATDA,SM0805,35.6,62.98,90,Top
C22,08055C222KATDA,C0805,41.85,29.38,180,Top
C23,08055C222KATDA,C0805,40.7,22.48,0,Top
C6,TCJA106M016R0200,CAPPM3216X180N,48.83,17.2,0,Top
C13,TCJA106M016R0200,CAPPM3216X180N,61.92,61.45,0,Top
C18,TCJA106M016R0200,CAPPM3216X180N,38.35,44.9,270,Top
C3,6TPE220MAZB,CAPPM3528X200N,23.45,42.86,270,Top
C4,6TPE220MAZB,CAPPM3528X200N,27.45,42.86,270,Top
R1,R 0.1W SMTF 10K,SM0805,5.05,32.35,90,Top
R2,R 0.1W SMTF 3.3K,SM0805,5.08,34.45,270,Top
R3,R 0.1W SMTF 10K,SM0805,53.1,41.33,180,Top
R4,R 0.1W SMTF 10K,SM0805,55.38,41.3,180,Top
R5,R 0.1W SMTF 10K,SM0805,44.98,6.95,270,Top
R6,R 0.1W SMTF 100,SM0805,46.27,41.45,0,Top
R7,R 0.1W SMTF 100,SM0805,48.55,41.38,0,Top
R8,R 0.1W SMTF 100,SM0805,50.83,41.35,0,Top
R9,R 0.1W SMTF 2.7K,SM0805,60.05,45.6,0,Top
R10,R 0.1W SMTF 47,SM0805,30,67.75,270,Top
R11,R 0.1W SMTF 47,SM0805,30,70,270,Top
R12,R 0.1W SMTF 47,SM0805,30,74.5,270,Top
R13,R 0.1W SMTF 47,SM0805,30,72.26,270,Top
R14,R 0.1W SMTF 1.0K,SM0805,11.9,59.33,270,Top
R15,R 0.1W SMTF 1.0K,SM0805,16.75,60.85,270,Top
R16,R 0.1W SMTF 1.0K,SM0805,61.77,32.08,270,Top
R17,R 0.1W SMTF 1.0K,SM0805,19.35,8.45,180,Top
R18,R 0.1W SMTF 1.0K,SM0805,32.98,8.18,180,Top
R19,R 0.1W SMTF 0,SM0805,44.05,41.42,180,Top
R20,R 0.1W SMTF 100K,SM0805,57.33,61.5,270,Top
FL1,BLM21BD102SN1D_250_100Mhz_0805,BLM21BB050SH1D,34.83,76.33,90,Top
FL2,BLM21BD102SN1D_250_100Mhz_0805,BLM21BB050SH1D,61.58,56.35,180,Top
D3,1N4007F,SODFL4626X110N,38.13,6.71,90,Top
D4,SMBJ6.5CA-Q,DIONM5436X244N,15.92,32.88,90,Top
D5,SMBJ36CA,DIONM5336X245N,15.93,40.18,90,Top
Y1,ABM3B-25.000MHZ-10-1-U-T,ABM3B,40.77,61.1,90,Top
Y3,ABM3B-8.000MHZ-10-1-U-T,ABM3B,40.83,26.37,180,Top
D1,SBRD10200TR,SMC_DPAK,13.5,51.35,90,Top
L1,RLF12560T-100M7R5-PF,INDPM125128X600N,25.13,52.88,0,Top
C16,EEEFK1C101AP,FKV(D),40.1,14.33,90,Top
C1,50SVPF68M,CAPAE1030X1270N,27.3,33.33,0,Top
C26,50SVPF68M,CAPAE1030X1270N,27.23,21.65,0,Top
IC1,TPS5450DDAG4,SOIC127P600X170-9N,5.25,42.38,0,Top
IC2,LM1117IMPX3.3_NOPB,SOT230P700X180-4N,26.88,11.68,0,Top
IC3,dsPIC33CH128MP508,SSOP,51.83,28.49,0,Top
IC4,ENC28J60-I_SO,SOIC127P1030X265-28N,49.25,51.11,90,Top
